Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 500 5 458.68 0.114 0 -12.808
1 10 500 5 438.26 0.110 1 -16.180
1 10 500 5 422.31 0.106 0 -16.188
1 10 500 5 327.02 0.106 1 -17.232
1 10 500 5 447.74 0.117 0 -14.416
1 10 500 5 437.40 0.114 0 -15.176
1 10 500 5 330.53 0.114 2 -14.560
1 10 500 5 348.93 0.116 1 -13.812
1 10 500 5 501.85 0.109 3 -12.188
1 10 500 5 365.29 0.156 1 -15.056
1 10 500 5 358.26 0.124 1 -15.824
1 10 500 5 361.72 0.117 1 -15.740
1 10 500 5 384.32 0.107 1 -13.416
1 10 500 5 328.17 0.126 1 -15.060
1 10 500 5 330.04 0.130 1 -11.180
1 10 500 5 363.09 0.140 0 -13.580
1 10 500 5 291.29 0.188 0 -15.724
1 10 500 5 420.44 0.172 1 -15.516
1 10 500 5 340.13 0.112 0 -9.140
1 10 500 5 380.47 0.111 2 -16.552
1 10 500 5 397.99 0.133 2 -15.944
1 10 500 5 262.77 0.139 2 -12.576
1 10 500 5 296.01 0.121 2 -16.184
1 10 500 5 366.09 0.106 2 -13.500
1 10 500 5 417.91 0.116 1 -11.980
1 10 500 5 383.73 0.128 1 -13.924
1 10 500 5 391.99 0.109 1 -11.812
1 10 500 5 455.42 0.122 1 -16.552
1 10 500 5 484.43 0.122 2 -16.116
1 10 500 5 339.14 0.121 1 -15.868
1 10 500 5 360.23 0.106 0 -15.272
1 10 500 5 365.53 0.115 0 -10.640
1 10 500 5 298.05 0.111 1 -11.492
1 10 500 5 356.47 0.121 2 -16.504
1 10 500 5 312.27 0.127 1 -13.052
1 10 500 5 451.04 0.115 2 -15.304
1 10 500 5 297.50 0.111 0 -14.528
1 10 500 5 334.14 0.113 2 -13.372
1 10 500 5 265.69 0.126 3 -12.440
1 10 500 5 445.79 0.131 1 -16.180
1 10 500 5 450.77 0.131 1 -15.364
1 10 500 5 290.53 0.119 0 -13.240
1 10 500 5 388.69 0.141 3 -13.812
1 10 500 5 499.80 0.117 1 -15.620
1 10 500 5 397.30 0.119 1 -12.024
1 10 500 5 419.35 0.134 1 -14.912
1 10 500 5 444.14 0.116 0 -13.980
1 10 500 5 265.61 0.116 2 -13.164
1 10 500 5 267.09 0.121 1 -17.684
1 10 500 5 494.99 0.112 3 -16.784
1 10 500 5 341.25 0.114 1 -13.444
1 10 500 5 326.96 0.113 2 -17.800
1 10 500 5 357.19 0.109 0 -16.040
1 10 500 5 421.45 0.119 1 -16.012
1 10 500 5 395.03 0.112 0 -12.200
1 10 500 5 359.49 0.116 1 -13.520
1 10 500 5 302.78 0.114 1 -12.640
1 10 500 5 292.98 0.136 2 -12.124
1 10 500 5 432.27 0.137 1 -17.328
1 10 500 5 385.03 0.148 0 -11.816
1 10 500 5 319.45 0.116 0 -14.024
1 10 500 5 333.66 0.129 0 -15.116
1 10 500 5 330.21 0.112 2 -13.552
1 10 500 5 341.94 0.114 0 -14.372
1 10 500 5 383.61 0.123 0 -13.148
1 10 500 5 384.08 0.120 2 -15.456
1 10 500 5 387.11 0.127 1 -14.940
1 10 500 5 386.55 0.112 1 -11.328
1 10 500 5 403.41 0.112 1 -13.680
1 10 500 5 458.59 0.127 2 -16.592
1 10 500 5 433.47 0.120 0 -11.212
1 10 500 5 291.88 0.120 0 -14.764
1 10 500 5 474.62 0.111 1 -13.704
1 10 500 5 309.45 0.120 0 -17.160
1 10 500 5 354.32 0.114 0 -15.928
1 10 500 5 407.05 0.111 1 -12.620
1 10 500 5 332.44 0.120 2 -11.096
1 10 500 5 284.84 0.132 0 -17.180
1 10 500 5 422.48 0.109 1 -15.696
1 10 500 5 330.67 0.111 1 -11.972
1 10 500 5 385.88 0.121 1 -12.380
1 10 500 5 362.06 0.131 2 -17.220
1 10 500 5 384.91 0.122 1 -16.712
1 10 500 5 308.29 0.115 0 -15.408
1 10 500 5 426.69 0.111 0 -17.080
1 10 500 5 403.53 0.111 1 -17.476
1 10 500 5 374.74 0.126 2 -11.212
1 10 500 5 374.59 0.150 0 -16.444
1 10 500 5 393.97 0.123 1 -16.496
1 10 500 5 481.62 0.120 2 -15.220
1 10 500 5 316.00 0.115 2 -17.628
1 10 500 5 457.41 0.116 1 -16.732
1 10 500 5 388.03 0.115 1 -15.932
1 10 500 5 440.65 0.119 0 -12.232
1 10 500 5 327.10 0.134 1 -15.048
1 10 500 5 299.15 0.108 1 -15.888
1 10 500 5 375.36 0.115 1 -15.580
1 10 500 5 390.04 0.111 0 -11.716
1 10 500 5 397.15 0.123 1 -12.692
1 10 500 5 314.56 0.151 1 -16.592
1 10 500 10 491.29 0.111 2 -9.688
1 10 500 10 398.03 0.115 3 -12.796
1 10 500 10 335.71 0.111 2 -10.472
1 10 500 10 363.84 0.121 1 -10.520
1 10 500 10 453.17 0.124 2 -12.044
1 10 500 10 408.29 0.119 2 -12.872
1 10 500 10 289.51 0.144 2 -12.660
1 10 500 10 485.27 0.123 4 -10.192
1 10 500 10 388.93 0.117 2 -10.588
1 10 500 10 363.91 0.194 1 -11.836
1 10 500 10 487.71 0.132 2 -12.616
1 10 500 10 428.26 0.133 2 -10.504
1 10 500 10 347.45 0.135 3 -9.480
1 10 500 10 504.18 0.142 3 -9.572
1 10 500 10 451.63 0.127 2 -10.964
1 10 500 10 452.36 0.117 2 -9.552
1 10 500 10 458.32 0.129 2 -9.476
1 10 500 10 385.41 0.130 3 -12.756
1 10 500 10 490.81 0.134 3 -9.740
1 10 500 10 457.69 0.109 2 -8.440
1 10 500 10 423.05 0.112 3 -12.488
1 10 500 10 488.13 0.119 3 -11.388
1 10 500 10 457.96 0.110 2 -12.012
1 10 500 10 400.43 0.111 1 -10.036
1 10 500 10 426.69 0.124 2 -12.416
1 10 500 10 458.69 0.119 2 -9.804
1 10 500 10 517.40 0.113 4 -12.620
1 10 500 10 385.59 0.110 3 -10.796
1 10 500 10 302.57 0.115 2 -10.884
1 10 500 10 431.03 0.111 1 -11.492
1 10 500 10 501.92 0.123 3 -11.856
1 10 500 10 401.74 0.115 1 -12.476
1 10 500 10 356.93 0.112 5 -10.844
1 10 500 10 451.59 0.111 2 -12.812
1 10 500 10 527.07 0.121 4 -13.180
1 10 500 10 437.46 0.119 3 -12.600
1 10 500 10 478.54 0.137 3 -10.176
1 10 500 10 570.50 0.124 4 -11.376
1 10 500 10 590.27 0.109 4 -9.848
1 10 500 10 497.53 0.123 2 -12.180
1 10 500 10 487.56 0.131 1 -9.664
1 10 500 10 372.80 0.176 3 -11.636
1 10 500 10 498.87 0.152 2 -11.948
1 10 500 10 468.50 0.132 3 -11.196
1 10 500 10 379.26 0.163 1 -11.084
1 10 500 10 394.80 0.201 1 -12.564
1 10 500 10 485.63 0.173 1 -11.676
1 10 500 10 435.39 0.152 3 -12.116
1 10 500 10 457.19 0.166 2 -9.916
1 10 500 10 408.22 0.130 1 -11.672
1 10 500 10 523.12 0.111 2 -11.808
1 10 500 10 441.77 0.130 2 -11.012
1 10 500 10 376.79 0.111 1 -9.716
1 10 500 10 409.19 0.132 2 -12.348
1 10 500 10 340.28 0.127 2 -11.620
1 10 500 10 469.04 0.118 2 -12.236
1 10 500 10 485.85 0.132 3 -10.460
1 10 500 10 424.28 0.183 2 -11.440
1 10 500 10 504.64 0.125 2 -9.580
1 10 500 10 516.50 0.110 4 -9.672
1 10 500 10 401.85 0.125 2 -12.092
1 10 500 10 457.20 0.112 3 -11.028
1 10 500 10 409.60 0.117 2 -8.928
1 10 500 10 403.75 0.107 2 -12.968
1 10 500 10 404.66 0.125 2 -12.212
1 10 500 10 499.55 0.110 2 -12.612
1 10 500 10 492.77 0.111 1 -12.632
1 10 500 10 347.73 0.125 3 -9.336
1 10 500 10 494.56 0.114 4 -10.792
1 10 500 10 515.17 0.117 1 -10.132
1 10 500 10 432.17 0.108 2 -10.104
1 10 500 10 500.09 0.104 2 -8.540
1 10 500 10 521.21 0.115 3 -10.124
1 10 500 10 289.25 0.133 1 -9.500
1 10 500 10 515.00 0.108 2 -10.880
1 10 500 10 507.13 0.112 4 -8.608
1 10 500 10 495.91 0.112 2 -10.460
1 10 500 10 350.96 0.109 2 -9.960
1 10 500 10 380.88 0.121 3 -11.652
1 10 500 10 355.56 0.213 2 -11.372
1 10 500 10 505.41 0.144 3 -8.940
1 10 500 10 349.43 0.140 1 -12.096
1 10 500 10 406.46 0.127 0 -10.048
1 10 500 10 367.67 0.128 0 -12.056
1 10 500 10 374.50 0.112 3 -12.540
1 10 500 10 308.28 0.126 1 -8.860
1 10 500 10 489.92 0.130 2 -10.872
1 10 500 10 387.29 0.131 3 -12.240
1 10 500 10 559.93 0.120 2 -11.300
1 10 500 10 390.28 0.133 2 -8.792
1 10 500 10 505.88 0.125 2 -10.316
1 10 500 10 565.39 0.121 3 -10.248
1 10 500 10 234.72 0.115 2 -12.704
1 10 500 10 310.02 0.132 2 -12.384
1 10 500 10 492.01 0.123 2 -8.368
1 10 500 10 381.73 0.118 1 -10.708
1 10 500 10 405.73 0.123 1 -11.408
1 10 500 10 413.54 0.144 2 -13.052
1 10 500 10 486.96 0.128 2 -12.364
1 10 500 10 418.13 0.117 1 -10.656
1 10 500 15 520.32 0.149 4 -11.532
1 10 500 15 465.63 0.130 1 -7.976
1 10 500 15 560.31 0.132 4 -9.004
1 10 500 15 497.13 0.117 2 -10.012
1 10 500 15 447.26 0.138 2 -8.084
1 10 500 15 539.34 0.134 4 -7.696
1 10 500 15 355.51 0.132 3 -7.780
1 10 500 15 468.75 0.120 3 -9.920
1 10 500 15 444.95 0.135 3 -9.136
1 10 500 15 523.92 0.142 4 -9.568
1 10 500 15 436.91 0.123 2 -9.456
1 10 500 15 536.16 0.162 4 -9.720
1 10 500 15 490.15 0.216 4 -7.800
1 10 500 15 509.51 0.144 3 -7.644
1 10 500 15 578.00 0.149 4 -7.084
1 10 500 15 411.43 0.169 3 -7.928
1 10 500 15 411.41 0.145 4 -9.736
1 10 500 15 426.59 0.124 3 -9.760
1 10 500 15 481.43 0.132 4 -10.392
1 10 500 15 543.32 0.124 4 -7.632
1 10 500 15 536.04 0.123 4 -7.808
1 10 500 15 520.59 0.127 3 -11.152
1 10 500 15 529.53 0.124 3 -10.064
1 10 500 15 425.92 0.128 2 -7.772
1 10 500 15 545.99 0.137 4 -8.428
1 10 500 15 495.12 0.135 2 -9.420
1 10 500 15 407.72 0.121 3 -9.136
1 10 500 15 367.57 0.132 2 -10.204
1 10 500 15 452.42 0.122 2 -10.944
1 10 500 15 537.29 0.123 3 -10.528
1 10 500 15 461.64 0.129 4 -11.132
1 10 500 15 496.71 0.114 2 -9.336
