Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 4000 1 590.59 0.152 0 52.024
1 10 4000 1 574.64 0.155 0 35.992
1 10 4000 1 467.13 0.175 0 25.536
1 10 4000 1 436.81 0.144 0 11.952
1 10 4000 1 488.49 0.142 0 15.452
1 10 4000 1 514.58 0.144 0 26.332
1 10 4000 1 387.37 0.139 0 17.516
1 10 4000 1 460.26 0.164 0 33.340
1 10 4000 1 507.14 0.145 0 17.784
1 10 4000 1 493.95 0.134 0 3.324
1 10 4000 1 560.06 0.141 0 33.428
1 10 4000 1 410.60 0.198 0 37.776
1 10 4000 1 423.54 0.164 0 30.148
1 10 4000 1 547.35 0.179 0 40.792
1 10 4000 1 539.15 0.209 0 31.204
1 10 4000 1 560.61 0.171 0 43.176
1 10 4000 1 548.25 0.150 0 49.272
1 10 4000 1 361.36 0.154 0 -1.872
1 10 4000 1 488.41 0.147 0 26.048
1 10 4000 1 602.34 0.135 0 46.340
1 10 4000 1 472.89 0.157 0 11.544
1 10 4000 1 429.98 0.149 0 -13.512
1 10 4000 1 537.26 0.165 0 35.424
1 10 4000 1 548.50 0.167 0 35.184
1 10 4000 1 529.24 0.165 0 31.264
1 10 4000 1 367.95 0.149 0 4.008
1 10 4000 1 494.26 0.184 0 29.852
1 10 4000 1 454.60 0.201 0 17.716
1 10 4000 1 440.64 0.168 0 -2.192
1 10 4000 1 429.34 0.174 0 7.984
1 10 4000 1 376.37 0.168 0 -7.900
1 10 4000 1 532.95 0.202 0 33.672
1 10 4000 1 548.65 0.165 0 18.556
1 10 4000 1 375.12 0.153 0 10.876
1 10 4000 1 604.97 0.144 0 22.352
1 10 4000 1 486.51 0.144 0 12.440
1 10 4000 1 506.81 0.148 0 3.452
1 10 4000 1 475.46 0.162 0 11.796
1 10 4000 1 275.28 0.162 0 -32.636
1 10 4000 1 485.04 0.140 0 -3.204
1 10 4000 1 532.24 0.148 0 43.152
1 10 4000 1 561.72 0.151 0 23.884
1 10 4000 1 484.48 0.166 0 13.732
1 10 4000 1 326.40 0.151 0 -7.776
1 10 4000 1 396.31 0.181 0 7.380
1 10 4000 1 531.37 0.182 0 20.880
1 10 4000 1 467.40 0.167 0 8.320
1 10 4000 1 458.51 0.149 0 14.076
1 10 4000 1 395.65 0.142 0 4.192
1 10 4000 1 507.68 0.171 0 16.360
1 10 4000 1 567.43 0.159 0 21.208
1 10 4000 1 402.47 0.171 0 12.100
1 10 4000 1 517.31 0.198 0 38.384
1 10 4000 1 446.17 0.295 0 20.916
1 10 4000 1 464.57 0.350 0 21.776
1 10 4000 1 579.53 0.234 0 30.628
1 10 4000 1 424.82 0.220 0 -3.368
1 10 4000 1 479.52 0.205 0 2.868
1 10 4000 1 409.26 0.223 0 9.524
1 10 4000 1 484.66 0.194 0 21.404
1 10 4000 1 569.55 0.200 0 26.844
1 10 4000 1 434.99 0.222 0 9.344
1 10 4000 1 603.35 0.202 0 36.140
1 10 4000 1 353.60 0.223 0 -12.592
1 10 4000 1 361.07 0.232 0 -3.304
1 10 4000 1 515.98 0.208 0 33.760
1 10 4000 1 546.48 0.189 0 35.308
1 10 4000 1 486.87 0.198 0 20.596
1 10 4000 1 338.82 0.230 0 -18.056
1 10 4000 1 527.03 0.214 0 29.724
1 10 4000 1 466.90 0.213 0 9.744
1 10 4000 1 510.79 0.200 0 33.416
1 10 4000 1 525.66 0.195 0 14.236
1 10 4000 1 517.15 0.204 0 29.988
1 10 4000 1 565.35 0.203 0 36.168
1 10 4000 1 507.37 0.193 0 32.936
1 10 4000 1 537.66 0.252 0 31.512
1 10 4000 1 452.39 0.225 0 18.136
1 10 4000 1 445.88 0.244 0 4.352
1 10 4000 1 412.33 0.204 0 17.580
1 10 4000 1 312.24 0.201 0 19.756
1 10 4000 1 480.98 0.202 0 20.832
1 10 4000 1 566.95 0.208 0 37.344
1 10 4000 1 470.67 0.204 0 4.844
1 10 4000 1 453.89 0.204 0 8.484
1 10 4000 1 370.08 0.198 0 -0.364
1 10 4000 1 573.86 0.201 0 26.056
1 10 4000 1 604.63 0.232 0 53.184
1 10 4000 1 441.98 0.246 0 30.860
1 10 4000 1 392.41 0.215 0 15.356
1 10 4000 1 493.50 0.208 0 12.036
1 10 4000 1 518.67 0.214 0 19.840
1 10 4000 1 458.04 0.206 0 8.204
1 10 4000 1 523.40 0.179 0 17.820
1 10 4000 1 473.60 0.202 0 25.512
1 10 4000 1 530.72 0.204 0 23.688
1 10 4000 1 468.48 0.221 0 27.372
1 10 4000 1 512.95 0.203 0 44.900
1 10 4000 1 485.06 0.217 0 28.200
1 10 4000 1 391.74 0.225 0 -14.632
1 10 4000 2 509.00 0.200 0 12.704
1 10 4000 2 505.01 0.156 0 14.428
1 10 4000 2 431.32 0.151 0 7.776
1 10 4000 2 509.23 0.152 0 8.300
1 10 4000 2 427.83 0.155 0 2.604
1 10 4000 2 432.13 0.142 0 -2.644
1 10 4000 2 317.78 0.148 0 -4.732
1 10 4000 2 312.11 0.152 0 -5.176
1 10 4000 2 372.37 0.163 0 -25.296
1 10 4000 2 409.97 0.146 0 -0.720
1 10 4000 2 403.15 0.162 0 9.712
1 10 4000 2 334.54 0.138 0 -7.696
1 10 4000 2 540.53 0.127 0 34.008
1 10 4000 2 271.62 0.156 0 -30.068
1 10 4000 2 294.42 0.175 0 -30.032
1 10 4000 2 492.09 0.185 0 15.076
1 10 4000 2 349.66 0.186 0 -25.460
1 10 4000 2 360.01 0.167 0 -18.724
1 10 4000 2 383.63 0.154 0 -13.232
1 10 4000 2 458.66 0.164 0 5.536
1 10 4000 2 305.02 0.188 0 -21.792
1 10 4000 2 461.90 0.207 0 0.956
1 10 4000 2 474.26 0.171 0 -4.012
1 10 4000 2 436.72 0.165 0 -9.444
1 10 4000 2 451.49 0.195 0 -0.536
1 10 4000 2 440.42 0.170 0 2.004
1 10 4000 2 387.74 0.163 0 3.728
1 10 4000 2 454.81 0.152 0 6.264
1 10 4000 2 417.40 0.150 0 -18.244
1 10 4000 2 298.63 0.149 0 -10.220
1 10 4000 2 473.97 0.155 0 12.064
1 10 4000 2 361.18 0.177 0 13.640
1 10 4000 2 353.99 0.146 0 -31.528
1 10 4000 2 414.51 0.159 0 -6.544
1 10 4000 2 357.11 0.155 0 -25.608
1 10 4000 2 315.32 0.146 0 -18.304
1 10 4000 2 408.84 0.149 0 -17.572
1 10 4000 2 524.58 0.146 0 31.232
1 10 4000 2 377.85 0.143 0 -4.696
1 10 4000 2 324.07 0.153 0 -21.580
1 10 4000 2 368.74 0.153 0 -21.896
1 10 4000 2 339.29 0.145 0 -0.896
1 10 4000 2 444.01 0.145 0 -16.412
1 10 4000 2 422.17 0.152 0 8.304
1 10 4000 2 464.77 0.160 0 -11.088
1 10 4000 2 378.13 0.158 0 -12.120
1 10 4000 2 497.85 0.154 0 23.032
1 10 4000 2 427.34 0.132 0 -1.312
1 10 4000 2 323.70 0.149 0 -15.448
1 10 4000 2 361.56 0.151 0 -8.896
1 10 4000 2 487.24 0.151 0 16.896
1 10 4000 2 331.67 0.189 0 7.976
1 10 4000 2 476.39 0.178 0 16.388
1 10 4000 2 277.48 0.155 0 -28.296
1 10 4000 2 385.27 0.148 0 -13.760
1 10 4000 2 355.07 0.156 0 -19.808
1 10 4000 2 351.91 0.144 0 -18.700
1 10 4000 2 462.89 0.143 0 25.436
1 10 4000 2 431.28 0.145 0 16.132
1 10 4000 2 401.18 0.151 0 9.956
1 10 4000 2 468.15 0.150 0 6.800
1 10 4000 2 313.29 0.160 0 18.116
1 10 4000 2 363.44 0.191 0 -18.152
1 10 4000 2 365.56 0.153 0 8.708
1 10 4000 2 364.30 0.149 0 14.332
1 10 4000 2 407.13 0.146 0 4.816
1 10 4000 2 401.69 0.141 0 13.120
1 10 4000 2 356.37 0.183 0 -27.540
1 10 4000 2 455.19 0.153 0 22.464
1 10 4000 2 466.07 0.180 0 -7.792
1 10 4000 2 456.30 0.159 0 -10.500
1 10 4000 2 366.67 0.160 0 -29.356
1 10 4000 2 419.19 0.150 0 -0.872
1 10 4000 2 393.77 0.144 0 12.740
1 10 4000 2 405.18 0.139 0 2.528
1 10 4000 2 421.18 0.152 0 8.876
1 10 4000 2 360.54 0.152 0 -4.984
1 10 4000 2 445.49 0.164 0 0.948
1 10 4000 2 520.57 0.157 0 13.880
1 10 4000 2 503.08 0.151 0 3.180
1 10 4000 2 380.66 0.158 0 -12.180
1 10 4000 2 429.83 0.185 0 -5.748
1 10 4000 2 447.09 0.147 0 11.464
1 10 4000 2 393.37 0.140 0 -9.788
1 10 4000 2 503.75 0.156 0 23.496
1 10 4000 2 333.55 0.153 0 3.292
1 10 4000 2 473.01 0.173 0 2.084
1 10 4000 2 403.85 0.148 0 7.128
1 10 4000 2 430.67 0.138 0 15.508
1 10 4000 2 424.39 0.158 0 11.324
1 10 4000 2 402.44 0.147 0 -9.080
1 10 4000 2 442.72 0.141 0 3.672
1 10 4000 2 414.74 0.143 0 8.720
1 10 4000 2 283.58 0.159 0 -20.424
1 10 4000 2 422.72 0.166 0 8.436
1 10 4000 2 438.70 0.164 0 21.216
1 10 4000 2 342.92 0.154 0 -6.804
1 10 4000 2 324.32 0.162 0 -4.776
1 10 4000 2 384.45 0.169 0 -7.312
1 10 4000 2 410.02 0.140 0 4.688
1 10 4000 3 420.59 0.158 0 7.376
1 10 4000 3 403.53 0.147 0 -19.984
1 10 4000 3 283.85 0.149 0 -21.152
1 10 4000 3 375.35 0.152 0 -7.264
1 10 4000 3 460.58 0.151 0 5.308
1 10 4000 3 441.33 0.146 0 5.172
1 10 4000 3 401.77 0.178 0 -14.276
1 10 4000 3 329.67 0.152 0 -48.164
1 10 4000 3 218.97 0.156 0 -29.336
1 10 4000 3 396.88 0.154 0 -7.532
1 10 4000 3 247.31 0.156 0 -14.696
1 10 4000 3 271.97 0.207 0 -25.736
1 10 4000 3 513.30 0.177 0 -3.408
1 10 4000 3 404.21 0.177 0 4.060
1 10 4000 3 279.73 0.159 0 -12.132
1 10 4000 3 460.62 0.150 0 4.616
1 10 4000 3 331.25 0.165 0 -0.592
1 10 4000 3 385.34 0.146 0 -23.212
1 10 4000 3 358.60 0.161 0 -13.936
1 10 4000 3 282.40 0.166 0 -7.552
1 10 4000 3 493.68 0.145 0 10.676
1 10 4000 3 386.03 0.148 0 -1.164
1 10 4000 3 240.98 0.173 0 -35.456
1 10 4000 3 453.07 0.160 0 -16.296
1 10 4000 3 313.59 0.153 0 -42.792
1 10 4000 3 346.86 0.166 0 -1.924
1 10 4000 3 453.19 0.144 0 4.184
1 10 4000 3 479.93 0.153 0 2.524
1 10 4000 3 285.87 0.178 0 -17.500
1 10 4000 3 522.45 0.153 0 21.928
1 10 4000 3 412.10 0.150 0 -10.672
1 10 4000 3 502.43 0.160 0 9.688
1 10 4000 3 457.37 0.179 0 9.480
1 10 4000 3 472.56 0.155 0 5.628
1 10 4000 3 503.53 0.150 0 6.640
1 10 4000 3 404.31 0.179 0 -4.116
1 10 4000 3 490.26 0.156 0 16.528
1 10 4000 3 409.31 0.179 0 -10.412
1 10 4000 3 376.01 0.165 0 -12.380
1 10 4000 3 362.74 0.162 0 -2.760
1 10 4000 3 390.49 0.162 0 -20.428
1 10 4000 3 350.42 0.183 0 2.808
1 10 4000 3 455.07 0.179 0 6.880
1 10 4000 3 486.49 0.185 0 11.552
1 10 4000 3 345.32 0.164 0 -34.256
1 10 4000 3 383.48 0.143 0 -1.804
1 10 4000 3 358.67 0.154 0 -18.168
1 10 4000 3 422.29 0.151 0 -11.000
1 10 4000 3 338.37 0.147 0 -8.180
1 10 4000 3 365.44 0.167 0 -33.200
1 10 4000 3 359.68 0.172 0 0.272
1 10 4000 3 431.35 0.146 0 6.836
1 10 4000 3 366.47 0.137 0 -24.740
1 10 4000 3 389.91 0.147 0 1.584
1 10 4000 3 300.85 0.161 0 -0.164
1 10 4000 3 389.21 0.146 0 -9.144
1 10 4000 3 436.20 0.163 0 -2.148
1 10 4000 3 283.24 0.151 0 -29.628
1 10 4000 3 349.70 0.136 0 -9.216
1 10 4000 3 450.63 0.179 0 3.056
1 10 4000 3 372.50 0.147 0 -17.576
1 10 4000 3 353.84 0.163 0 -20.456
1 10 4000 3 430.20 0.167 0 4.780
1 10 4000 3 346.04 0.156 0 -0.528
1 10 4000 3 303.28 0.156 0 2.304
1 10 4000 3 394.76 0.149 0 9.800
1 10 4000 3 373.61 0.160 0 3.264
1 10 4000 3 496.50 0.174 0 3.036
1 10 4000 3 290.03 0.144 0 -8.128
1 10 4000 3 410.90 0.162 0 -1.308
1 10 4000 3 312.24 0.150 0 -42.796
1 10 4000 3 446.74 0.152 0 4.584
1 10 4000 3 477.96 0.195 0 1.896
1 10 4000 3 382.68 0.151 0 -3.328
1 10 4000 3 352.73 0.150 0 -33.196
1 10 4000 3 341.70 0.142 0 -12.480
1 10 4000 3 423.19 0.144 0 4.248
1 10 4000 3 289.76 0.157 0 3.716
1 10 4000 3 331.29 0.154 0 -11.092
1 10 4000 3 486.45 0.156 0 11.140
1 10 4000 3 433.16 0.156 0 1.996
1 10 4000 3 454.81 0.151 0 14.288
1 10 4000 3 405.57 0.144 0 -3.916
1 10 4000 3 424.96 0.152 0 3.028
1 10 4000 3 508.67 0.138 0 7.384
1 10 4000 3 400.26 0.192 0 -11.428
1 10 4000 3 326.76 0.146 0 -18.820
1 10 4000 3 539.58 0.167 0 12.796
1 10 4000 3 403.20 0.138 0 -10.616
1 10 4000 3 449.32 0.156 0 2.404
1 10 4000 3 459.48 0.153 0 5.720
1 10 4000 3 355.25 0.176 0 -13.808
1 10 4000 3 487.12 0.162 0 -5.544
1 10 4000 3 411.55 0.138 0 -0.328
1 10 4000 3 510.61 0.166 0 5.752
1 10 4000 3 355.70 0.157 0 -36.140
1 10 4000 3 300.05 0.151 0 -30.568
1 10 4000 3 487.60 0.155 0 12.692
1 10 4000 3 338.17 0.159 0 -20.880
1 10 4000 3 461.75 0.152 0 3.200
1 10 4000 4 380.87 0.160 0 -30.640
1 10 4000 4 382.51 0.158 0 -1.912
1 10 4000 4 313.86 0.189 0 -13.580
1 10 4000 4 466.44 0.162 0 -7.640
1 10 4000 4 439.96 0.160 0 -7.492
1 10 4000 4 444.71 0.151 0 -9.544
1 10 4000 4 355.90 0.153 0 -8.348
1 10 4000 4 364.14 0.161 0 6.316
1 10 4000 4 412.88 0.145 0 -10.208
1 10 4000 4 482.25 0.176 0 9.572
1 10 4000 4 428.78 0.152 0 -19.592
1 10 4000 4 321.72 0.150 0 -17.268
1 10 4000 4 419.35 0.158 0 1.892
1 10 4000 4 425.75 0.135 0 -6.008
1 10 4000 4 395.30 0.148 0 -22.168
1 10 4000 4 374.22 0.147 0 -12.300
1 10 4000 4 210.32 0.145 0 -32.400
1 10 4000 4 464.47 0.151 0 -8.588
1 10 4000 4 248.51 0.188 0 -19.484
1 10 4000 4 400.00 0.140 0 -25.992
1 10 4000 4 353.07 0.145 0 -29.480
1 10 4000 4 317.64 0.132 0 -15.564
1 10 4000 4 447.66 0.135 0 -14.648
1 10 4000 4 374.62 0.143 0 -4.924
1 10 4000 4 386.02 0.161 0 -11.036
1 10 4000 4 416.43 0.174 0 -21.044
1 10 4000 4 413.05 0.150 0 -13.904
1 10 4000 4 402.22 0.153 0 3.120
1 10 4000 4 444.64 0.160 0 -1.568
1 10 4000 4 364.01 0.158 0 -19.296
1 10 4000 4 374.97 0.142 0 0.600
1 10 4000 4 364.26 0.158 0 -9.232
1 10 4000 4 396.10 0.151 0 -3.232
1 10 4000 4 313.41 0.168 0 -16.360
1 10 4000 4 361.96 0.144 0 -17.276
1 10 4000 4 403.46 0.142 0 -20.148
1 10 4000 4 229.98 0.145 0 -40.020
1 10 4000 4 409.53 0.149 0 -28.204
