Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 50 5 519.48 0.108 3 -10.008
1 10 50 5 511.72 0.111 2 -6.424
1 10 50 5 561.56 0.102 5 -6.940
1 10 50 5 524.79 0.099 2 -8.360
1 10 50 5 459.13 0.111 3 -7.416
1 10 50 5 484.18 0.104 4 -8.412
1 10 50 5 604.42 0.132 5 -9.908
1 10 50 5 591.84 0.106 5 -8.612
1 10 50 5 575.97 0.113 4 -8.712
1 10 50 5 449.28 0.135 5 -8.504
1 10 50 5 487.58 0.140 4 -10.440
1 10 50 5 591.88 0.125 3 -8.652
1 10 50 5 612.58 0.118 5 -10.628
1 10 50 5 432.18 0.126 4 -9.816
1 10 50 5 548.32 0.144 4 -7.128
1 10 50 5 475.91 0.110 4 -8.900
1 10 50 5 528.59 0.128 4 -10.952
1 10 50 5 478.46 0.150 3 -9.364
1 10 50 5 646.13 0.189 6 -8.096
1 10 50 5 648.22 0.154 3 -11.336
1 10 50 5 443.07 0.143 2 -8.548
1 10 50 5 640.89 0.144 4 -9.048
1 10 50 5 623.92 0.105 4 -9.372
1 10 50 5 476.40 0.124 3 -9.188
1 10 50 5 544.91 0.115 6 -9.684
1 10 50 5 599.01 0.109 3 -9.272
1 10 50 5 421.96 0.108 3 -10.328
1 10 50 5 483.16 0.106 3 -10.280
1 10 50 5 625.25 0.116 4 -8.136
1 10 50 5 536.67 0.102 4 -10.856
1 10 50 5 450.13 0.111 4 -8.956
1 10 50 5 511.57 0.115 4 -9.284
1 10 50 5 576.10 0.107 4 -9.336
1 10 50 5 527.66 0.116 3 -8.332
1 10 50 5 478.53 0.116 5 -9.404
1 10 50 5 520.57 0.108 6 -7.216
1 10 50 5 504.52 0.111 5 -8.052
1 10 50 5 642.87 0.119 5 -9.228
1 10 50 5 484.34 0.106 3 -8.904
1 10 50 5 533.31 0.113 4 -8.252
1 10 50 5 540.70 0.118 3 -9.516
1 10 50 5 506.69 0.111 4 -7.732
1 10 50 5 474.54 0.110 4 -9.260
1 10 50 5 434.16 0.117 3 -9.556
1 10 50 5 601.44 0.112 5 -9.452
1 10 50 5 457.69 0.121 4 -9.536
1 10 50 5 524.50 0.110 4 -8.980
1 10 50 5 633.98 0.107 4 -9.060
1 10 50 5 428.54 0.100 3 -8.208
1 10 50 5 515.37 0.109 4 -9.544
1 10 50 5 522.73 0.105 4 -9.832
1 10 50 5 483.35 0.100 4 -8.128
1 10 50 5 496.85 0.108 2 -8.184
1 10 50 5 434.85 0.112 2 -8.688
1 10 50 5 481.01 0.114 4 -8.372
1 10 50 5 546.53 0.124 3 -9.544
1 10 50 5 440.57 0.155 4 -11.240
1 10 50 5 437.33 0.103 5 -11.328
1 10 50 5 517.63 0.112 4 -9.288
1 10 50 5 406.91 0.117 3 -9.668
1 10 50 5 534.85 0.110 4 -8.052
1 10 50 5 512.87 0.110 2 -8.320
1 10 50 5 488.76 0.111 3 -8.156
1 10 50 5 534.10 0.127 4 -8.512
1 10 50 5 626.65 0.111 5 -9.756
1 10 50 5 453.85 0.102 3 -10.920
1 10 50 5 597.19 0.120 3 -9.256
1 10 50 5 358.20 0.114 3 -10.084
1 10 50 5 395.01 0.109 3 -9.916
1 10 50 5 530.57 0.115 4 -8.652
1 10 50 5 514.89 0.109 5 -6.936
1 10 50 5 485.27 0.101 5 -8.952
1 10 50 5 433.85 0.105 3 -8.108
1 10 50 5 444.09 0.104 4 -9.204
1 10 50 5 453.79 0.122 3 -11.000
1 10 50 5 546.94 0.097 3 -9.820
1 10 50 5 376.78 0.108 5 -8.912
1 10 50 5 434.83 0.097 3 -10.700
1 10 50 5 467.33 0.099 3 -10.328
1 10 50 5 517.78 0.107 5 -8.888
1 10 50 5 508.01 0.103 3 -9.496
1 10 50 5 494.78 0.118 4 -9.108
1 10 50 5 475.54 0.106 4 -6.792
1 10 50 5 604.68 0.099 5 -9.852
1 10 50 5 475.28 0.098 3 -6.988
1 10 50 5 651.52 0.109 5 -9.680
1 10 50 5 481.81 0.108 3 -8.712
1 10 50 5 376.87 0.111 3 -8.736
1 10 50 5 536.88 0.105 4 -10.896
1 10 50 5 492.01 0.103 5 -9.176
1 10 50 5 421.43 0.125 3 -8.184
1 10 50 5 527.58 0.121 4 -12.372
1 10 50 5 502.23 0.115 5 -7.492
1 10 50 5 360.64 0.105 2 -8.264
1 10 50 5 474.46 0.108 4 -11.220
1 10 50 5 481.41 0.103 4 -9.888
1 10 50 5 470.73 0.099 4 -9.308
1 10 50 5 484.18 0.110 3 -7.916
1 10 50 5 378.58 0.119 4 -9.116
1 10 50 5 543.25 0.107 3 -10.988
1 10 50 10 509.82 0.101 4 -8.084
1 10 50 10 402.99 0.111 4 -8.496
1 10 50 10 638.66 0.099 4 -7.112
1 10 50 10 423.00 0.106 3 -7.520
1 10 50 10 489.98 0.104 3 -9.812
1 10 50 10 682.61 0.117 4 -5.840
1 10 50 10 481.71 0.116 4 -8.224
1 10 50 10 564.89 0.101 3 -7.388
1 10 50 10 639.53 0.102 3 -7.160
1 10 50 10 556.99 0.098 4 -7.388
1 10 50 10 654.01 0.114 4 -7.540
1 10 50 10 557.31 0.106 3 -7.332
1 10 50 10 562.92 0.099 3 -9.156
1 10 50 10 565.04 0.111 3 -9.116
1 10 50 10 482.90 0.103 4 -9.388
1 10 50 10 502.97 0.103 4 -8.108
1 10 50 10 558.09 0.106 4 -8.348
1 10 50 10 516.61 0.107 3 -8.820
1 10 50 10 662.91 0.097 3 -8.548
1 10 50 10 558.38 0.101 3 -7.520
1 10 50 10 602.72 0.115 4 -7.356
1 10 50 10 632.48 0.098 3 -8.288
1 10 50 10 577.12 0.096 3 -6.164
1 10 50 10 541.79 0.108 3 -9.948
1 10 50 10 610.67 0.110 3 -6.892
1 10 50 10 494.56 0.100 2 -7.340
1 10 50 10 513.16 0.110 4 -7.440
1 10 50 10 598.10 0.097 4 -8.628
1 10 50 10 499.84 0.117 4 -8.796
1 10 50 10 578.81 0.096 3 -8.268
1 10 50 10 504.55 0.097 2 -7.812
1 10 50 10 547.05 0.100 4 -7.220
1 10 50 10 565.62 0.101 3 -8.864
1 10 50 10 622.93 0.123 5 -5.712
1 10 50 10 451.75 0.100 4 -7.088
1 10 50 10 472.22 0.102 3 -7.432
1 10 50 10 560.55 0.098 3 -7.508
1 10 50 10 615.36 0.097 5 -7.456
1 10 50 10 405.79 0.096 5 -8.428
1 10 50 10 599.09 0.098 3 -6.952
1 10 50 10 462.98 0.099 5 -5.960
1 10 50 10 456.06 0.108 4 -7.296
1 10 50 10 522.48 0.112 4 -7.932
1 10 50 10 585.60 0.120 4 -8.780
1 10 50 10 401.10 0.123 4 -7.348
1 10 50 10 582.65 0.108 4 -8.004
1 10 50 10 519.69 0.111 4 -6.124
1 10 50 10 521.52 0.102 3 -8.344
1 10 50 10 595.85 0.096 3 -8.244
1 10 50 10 459.84 0.111 3 -8.492
1 10 50 10 496.03 0.101 4 -7.212
1 10 50 10 519.60 0.101 4 -9.316
1 10 50 10 547.15 0.096 3 -9.504
1 10 50 10 564.53 0.100 5 -8.640
1 10 50 10 470.11 0.096 3 -9.304
1 10 50 10 560.59 0.101 3 -6.024
1 10 50 10 540.60 0.097 4 -5.636
1 10 50 10 444.56 0.098 5 -7.744
1 10 50 10 537.68 0.096 4 -8.804
1 10 50 10 632.49 0.098 5 -7.228
1 10 50 10 653.65 0.106 3 -7.544
1 10 50 10 539.05 0.098 3 -8.668
1 10 50 10 584.73 0.099 4 -7.080
1 10 50 10 672.27 0.099 3 -8.860
1 10 50 10 548.76 0.099 4 -7.320
1 10 50 10 553.90 0.117 3 -8.836
1 10 50 10 463.75 0.099 3 -10.248
1 10 50 10 549.67 0.100 3 -8.348
1 10 50 10 587.27 0.097 3 -7.828
1 10 50 10 526.30 0.101 3 -6.964
1 10 50 10 472.92 0.097 2 -7.020
1 10 50 10 577.75 0.122 5 -9.080
1 10 50 10 499.76 0.100 4 -6.220
1 10 50 10 560.81 0.102 3 -7.972
1 10 50 10 556.45 0.120 3 -8.620
1 10 50 10 462.78 0.098 3 -8.436
1 10 50 10 601.46 0.098 6 -7.604
1 10 50 10 576.47 0.095 5 -10.408
1 10 50 10 592.59 0.095 4 -6.304
1 10 50 10 687.47 0.101 4 -8.092
1 10 50 10 486.68 0.099 2 -8.076
1 10 50 10 428.53 0.098 3 -8.052
1 10 50 10 554.21 0.097 3 -6.420
1 10 50 10 547.64 0.102 3 -8.668
1 10 50 10 578.17 0.098 4 -8.468
1 10 50 10 593.61 0.109 4 -8.952
1 10 50 10 641.94 0.096 4 -7.160
1 10 50 10 542.78 0.096 3 -9.104
1 10 50 10 483.76 0.102 3 -7.204
1 10 50 10 595.79 0.099 5 -8.476
1 10 50 10 507.89 0.099 3 -9.480
1 10 50 10 559.40 0.128 3 -9.996
1 10 50 10 580.34 0.136 3 -8.072
1 10 50 10 549.54 0.109 4 -9.340
1 10 50 10 598.65 0.110 3 -8.364
1 10 50 10 559.86 0.101 3 -9.192
1 10 50 10 633.56 0.099 4 -6.844
1 10 50 10 516.20 0.102 4 -9.056
1 10 50 10 338.98 0.115 3 -8.632
1 10 50 10 454.49 0.103 4 -8.860
1 10 50 15 505.01 0.118 4 -6.692
1 10 50 15 494.17 0.110 5 -8.496
1 10 50 15 592.80 0.116 3 -6.956
1 10 50 15 444.35 0.103 3 -7.388
1 10 50 15 670.56 0.103 5 -7.676
1 10 50 15 556.03 0.106 3 -7.048
1 10 50 15 557.72 0.101 3 -9.480
1 10 50 15 598.02 0.108 3 -10.592
1 10 50 15 605.58 0.114 4 -7.516
1 10 50 15 591.72 0.114 4 -8.216
1 10 50 15 486.17 0.105 4 -8.576
1 10 50 15 559.12 0.119 3 -9.420
1 10 50 15 589.73 0.103 4 -7.172
1 10 50 15 684.08 0.115 4 -5.948
1 10 50 15 589.45 0.107 4 -9.136
1 10 50 15 586.96 0.124 4 -7.880
1 10 50 15 586.20 0.116 4 -6.196
1 10 50 15 590.35 0.101 4 -8.868
1 10 50 15 637.45 0.104 5 -5.748
1 10 50 15 594.92 0.112 3 -8.324
1 10 50 15 603.67 0.106 4 -6.988
1 10 50 15 617.06 0.104 3 -8.020
1 10 50 15 481.76 0.105 4 -7.992
1 10 50 15 571.54 0.106 5 -7.488
1 10 50 15 550.83 0.114 3 -8.360
1 10 50 15 464.16 0.102 5 -7.400
1 10 50 15 672.84 0.110 3 -6.584
1 10 50 15 595.84 0.103 3 -6.872
1 10 50 15 556.12 0.132 3 -6.616
1 10 50 15 589.78 0.109 4 -8.712
1 10 50 15 428.80 0.101 4 -8.036
1 10 50 15 495.31 0.120 4 -6.416
1 10 50 15 635.38 0.149 4 -8.784
1 10 50 15 492.54 0.121 4 -7.424
1 10 50 15 619.83 0.104 3 -7.780
1 10 50 15 515.25 0.109 4 -8.056
1 10 50 15 639.37 0.116 4 -10.092
1 10 50 15 515.80 0.104 4 -8.660
1 10 50 15 593.41 0.102 3 -8.240
1 10 50 15 471.01 0.104 4 -8.344
1 10 50 15 612.94 0.114 3 -7.384
1 10 50 15 701.21 0.102 3 -7.120
1 10 50 15 496.90 0.103 2 -8.644
1 10 50 15 538.99 0.104 4 -6.000
1 10 50 15 662.89 0.119 3 -8.132
1 10 50 15 456.72 0.106 4 -8.536
1 10 50 15 620.00 0.112 4 -8.500
1 10 50 15 523.65 0.103 4 -7.188
1 10 50 15 480.24 0.121 3 -7.012
1 10 50 15 463.42 0.121 2 -7.224
1 10 50 15 562.85 0.103 3 -9.016
1 10 50 15 628.27 0.101 5 -7.652
1 10 50 15 494.28 0.123 4 -8.756
1 10 50 15 558.79 0.135 2 -7.460
1 10 50 15 668.92 0.114 5 -6.008
1 10 50 15 702.14 0.120 6 -5.948
1 10 50 15 589.20 0.112 4 -10.064
1 10 50 15 645.29 0.106 4 -7.084
1 10 50 15 543.36 0.112 3 -7.744
1 10 50 15 459.55 0.101 3 -7.128
1 10 50 15 545.55 0.120 4 -7.112
1 10 50 15 600.21 0.105 4 -7.408
1 10 50 15 482.47 0.125 3 -8.600
1 10 50 15 600.85 0.102 3 -8.336
1 10 50 15 685.38 0.113 4 -6.244
1 10 50 15 543.36 0.103 4 -7.372
1 10 50 15 558.80 0.101 3 -7.844
1 10 50 15 485.47 0.103 5 -6.468
1 10 50 15 562.32 0.121 4 -8.552
1 10 50 15 566.64 0.128 3 -6.736
1 10 50 15 562.90 0.103 3 -7.300
1 10 50 15 585.37 0.123 3 -7.572
1 10 50 15 420.41 0.106 2 -6.908
1 10 50 15 595.33 0.112 3 -6.760
1 10 50 15 569.65 0.112 4 -6.428
1 10 50 15 500.32 0.116 5 -8.276
1 10 50 15 539.27 0.134 4 -5.024
1 10 50 15 720.43 0.118 4 -7.628
1 10 50 15 557.58 0.136 3 -6.304
1 10 50 15 615.85 0.113 3 -6.100
1 10 50 15 648.20 0.104 4 -8.228
1 10 50 15 663.49 0.110 3 -6.240
1 10 50 15 459.46 0.118 3 -8.924
1 10 50 15 454.87 0.112 4 -7.632
1 10 50 15 563.02 0.107 3 -7.848
1 10 50 15 518.65 0.109 4 -5.968
1 10 50 15 457.34 0.156 4 -7.944
1 10 50 15 586.17 0.115 4 -8.720
1 10 50 15 776.78 0.103 4 -6.916
1 10 50 15 589.93 0.120 5 -8.964
1 10 50 15 524.59 0.115 2 -7.004
1 10 50 15 617.42 0.111 3 -7.792
1 10 50 15 574.16 0.100 4 -7.952
1 10 50 15 551.82 0.104 4 -6.524
1 10 50 15 722.37 0.106 4 -8.996
1 10 50 15 492.42 0.138 3 -9.080
1 10 50 15 513.21 0.122 4 -8.524
1 10 50 15 529.96 0.117 4 -7.012
1 10 50 15 537.34 0.115 3 -7.564
1 10 50 15 611.68 0.116 3 -9.996
1 10 50 20 522.75 0.129 4 -5.780
1 10 50 20 501.43 0.122 4 -8.576
1 10 50 20 583.74 0.139 3 -7.524
1 10 50 20 409.29 0.112 3 -9.500
1 10 50 20 586.71 0.122 4 -7.592
1 10 50 20 659.58 0.115 4 -6.376
1 10 50 20 396.86 0.118 3 -6.076
1 10 50 20 582.13 0.108 3 -8.948
1 10 50 20 608.27 0.105 4 -6.836
1 10 50 20 474.05 0.109 3 -8.012
1 10 50 20 574.12 0.101 2 -6.624
1 10 50 20 598.27 0.105 3 -6.844
1 10 50 20 696.24 0.106 4 -8.036
1 10 50 20 407.83 0.103 4 -8.096
1 10 50 20 561.04 0.149 4 -7.964
1 10 50 20 641.61 0.141 4 -9.464
1 10 50 20 649.32 0.130 4 -6.304
1 10 50 20 749.93 0.128 4 -6.828
1 10 50 20 558.75 0.145 3 -6.064
1 10 50 20 559.05 0.124 4 -9.244
1 10 50 20 675.84 0.119 5 -7.356
1 10 50 20 740.60 0.128 4 -6.972
1 10 50 20 580.51 0.114 3 -6.608
1 10 50 20 599.58 0.119 3 -8.844
1 10 50 20 564.14 0.118 3 -7.308
1 10 50 20 482.71 0.102 3 -5.796
1 10 50 20 504.12 0.101 5 -7.280
1 10 50 20 608.63 0.103 3 -6.580
1 10 50 20 520.56 0.101 2 -8.092
1 10 50 20 545.12 0.117 4 -9.196
1 10 50 20 554.15 0.138 3 -7.704
1 10 50 20 661.54 0.150 5 -7.708
1 10 50 20 645.55 0.136 4 -8.724
1 10 50 20 605.94 0.139 4 -4.864
1 10 50 20 375.14 0.132 2 -6.816
1 10 50 20 599.23 0.127 4 -7.576
1 10 50 20 524.88 0.106 4 -5.656
1 10 50 20 597.25 0.120 3 -8.476
1 10 50 20 413.97 0.112 3 -7.560
1 10 50 20 498.73 0.107 3 -8.472
1 10 50 20 612.76 0.118 4 -6.064
1 10 50 20 383.10 0.130 5 -8.476
1 10 50 20 446.41 0.112 3 -8.584
1 10 50 20 558.37 0.118 3 -8.300
1 10 50 20 508.82 0.102 3 -5.920
1 10 50 20 362.47 0.157 3 -6.812
1 10 50 20 671.65 0.150 4 -7.704
1 10 50 20 522.60 0.112 4 -8.416
1 10 50 20 648.35 0.169 4 -8.856
1 10 50 20 572.41 0.132 2 -7.592
1 10 50 20 568.43 0.124 4 -5.740
1 10 50 20 591.76 0.110 6 -5.560
1 10 50 20 485.91 0.113 3 -8.932
1 10 50 20 555.53 0.148 4 -7.732
1 10 50 20 508.36 0.210 3 -8.000
1 10 50 20 643.27 0.110 3 -7.556
1 10 50 20 609.37 0.109 3 -8.776
1 10 50 20 682.31 0.111 4 -6.948
1 10 50 20 522.93 0.102 2 -6.828
1 10 50 20 536.92 0.119 4 -6.748
1 10 50 20 623.65 0.106 5 -6.032
1 10 50 20 697.39 0.100 4 -6.972
1 10 50 20 547.66 0.113 4 -7.568
1 10 50 20 727.56 0.129 4 -6.232
1 10 50 20 665.35 0.134 3 -8.884
1 10 50 20 622.10 0.117 3 -6.364
1 10 50 20 692.75 0.135 3 -6.444
1 10 50 20 530.79 0.150 4 -7.676
1 10 50 20 459.06 0.125 4 -8.104
1 10 50 20 669.31 0.119 5 -5.928
1 10 50 20 692.26 0.131 4 -8.852
1 10 50 20 524.68 0.116 4 -8.452
1 10 50 20 569.84 0.109 3 -6.644
1 10 50 20 466.45 0.156 5 -9.408
1 10 50 20 452.73 0.121 4 -6.956
1 10 50 20 409.64 0.118 5 -7.024
1 10 50 20 734.55 0.105 4 -8.180
1 10 50 20 463.58 0.110 4 -7.060
1 10 50 20 546.93 0.122 4 -6.520
1 10 50 20 520.61 0.101 3 -7.332
1 10 50 20 616.83 0.100 4 -8.788
1 10 50 20 444.98 0.119 2 -7.036
1 10 50 20 584.15 0.112 4 -8.604
1 10 50 20 702.42 0.104 3 -8.252
1 10 50 20 549.09 0.102 3 -8.740
1 10 50 20 542.14 0.102 4 -6.744
1 10 50 20 737.05 0.103 4 -6.488
1 10 50 20 501.38 0.114 5 -7.680
1 10 50 20 415.19 0.102 3 -9.256
1 10 50 20 569.74 0.105 4 -8.432
1 10 50 20 655.19 0.113 3 -6.568
1 10 50 20 525.69 0.100 3 -6.592
1 10 50 20 576.64 0.101 3 -7.816
1 10 50 20 606.73 0.110 2 -5.484
1 10 50 20 552.73 0.111 4 -7.424
1 10 50 20 607.22 0.116 3 -8.976
1 10 50 20 587.51 0.129 4 -7.756
1 10 50 20 689.93 0.145 3 -8.036
1 10 50 20 421.74 0.114 3 -8.100
1 10 50 20 466.49 0.120 3 -7.812
1 10 50 25 663.18 0.110 4 -6.784
1 10 50 25 586.50 0.103 3 -7.768
1 10 50 25 636.63 0.103 4 -7.440
1 10 50 25 664.61 0.107 4 -7.292
1 10 50 25 485.61 0.133 4 -8.420
1 10 50 25 561.31 0.105 3 -8.432
1 10 50 25 638.84 0.114 4 -6.320
1 10 50 25 600.50 0.108 4 -11.196
1 10 50 25 528.10 0.098 3 -9.068
1 10 50 25 727.58 0.102 5 -6.196
1 10 50 25 665.45 0.112 5 -6.084
1 10 50 25 510.12 0.109 3 -8.060
1 10 50 25 699.39 0.098 4 -5.944
1 10 50 25 680.30 0.107 4 -8.072
1 10 50 25 619.85 0.097 3 -5.976
1 10 50 25 630.36 0.099 4 -6.784
1 10 50 25 588.65 0.106 3 -9.104
1 10 50 25 540.61 0.111 4 -7.360
1 10 50 25 591.94 0.110 4 -6.296
1 10 50 25 460.05 0.112 3 -6.132
1 10 50 25 538.77 0.104 4 -9.096
1 10 50 25 641.05 0.117 4 -5.424
1 10 50 25 640.62 0.110 5 -6.300
1 10 50 25 472.68 0.113 3 -9.412
1 10 50 25 617.82 0.115 5 -7.796
1 10 50 25 587.80 0.115 4 -7.880
1 10 50 25 581.57 0.134 4 -6.260
