Solver Grids Slack Delta_A Delta_B Anneal_Time Max_Bias Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2 Restriction2T Slack_On
4 10 5 2000 1 20 4000.0 2000.5 0.592 -23310.676723568005 227.553228432 0 3 -52.696 -14.055999999999997 2
4 10 5 2000 1 20 4000.0 2000.5 0.584 -21279.516907664005 212.46988568000003 0 4 -42.428 11.5 5
4 10 5 2000 1 20 4000.0 2000.5 0.6 -20290.82051275201 411.44378459200004 0 4 -24.563999999999993 30.364000000000004 4
4 10 5 2000 1 20 4000.0 2000.5 0.592 -19851.366559632 348.8645377120001 0 4 -20.191999999999993 37.736000000000004 4
4 10 5 2000 1 20 4000.0 2000.5 0.576 -19630.207157904 212.46988568000003 0 4 -42.428 41.140000000000015 2
4 10 5 2000 1 20 4000.0 2000.5 0.592 -19461.870393360005 162.17630398400001 0 5 -55.364 -0.43599999999999994 4
4 10 5 2000 1 20 4000.0 2000.5 0.584 -19449.358393360002 162.17630398400001 0 5 -55.364 3.564 3
4 10 5 2000 1 20 4000.0 2000.5 0.584 -19346.538874592 233.26181699199998 0 5 -52.324 6.124000000000009 3
4 10 5 2000 1 20 4000.0 2000.5 0.576 -19276.2602532 159.62836414400002 0 5 -44.20399999999999 13.724000000000004 4
4 10 5 2000 1 20 4000.0 2000.5 0.576 -19142.156415632002 288.98156171200003 0 5 -42.032 13.896 4
4 10 5 2000 1 20 4000.0 2000.5 0.576 -19117.438393360004 162.17630398400001 0 5 -55.364 0.5640000000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -19079.310393360003 162.17630398400001 0 5 -55.364 0.5640000000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -18500.276415632 288.98156171200003 0 5 -42.032 13.896 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -18487.861635552003 397.40530179200005 0 5 -27.744 28.183999999999997 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -17519.80429185599 214.44926014400002 0 3 -39.88399999999999 -20.243999999999993 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -17447.910653952 137.786875392 0 6 -68.72 -12.792000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -17447.910653952 137.786875392 0 6 -68.72 -12.792000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -17441.453350911997 142.63854643200003 0 6 -65.264 -9.335999999999999 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -17419.078653952 137.786875392 0 6 -68.72 -12.792000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -17405.742158991994 294.04364171200007 0 5 -24.512 43.512 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -17390.566653952003 137.786875392 0 6 -68.72 -12.792000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -17349.768579728 199.12581361600002 0 6 -45.248 10.68 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -17300.34147054401 282.67892280000007 0 6 -52.507999999999996 3.4200000000000017 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -17264.576647039998 230.519650304 0 6 -59.564 -3.636000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -17219.456845935998 236.83892814400002 0 6 -55.22 -5.147999999999996 0
4 10 5 2000 1 20 4000.0 2000.5 0.616 -17212.031396624 273.71957272000003 0 6 -43.16 12.768 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -17197.371862911998 313.74043443200003 0 6 -43.291999999999994 12.636000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -17175.099862911993 313.74043443200003 0 6 -43.291999999999994 12.636000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -17148.57013422399 135.80654520000002 0 5 -58.912 27.448000000000015 0
4 10 5 2000 1 20 4000.0 2000.5 0.616 -17113.364415632 152.58690968000002 0 6 -64.268 13.896 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -17079.310393360003 162.17630398400001 0 6 -55.364 0.5640000000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -16923.095415120006 333.57579422400005 0 6 -35.756 20.171999999999997 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -16892.961400623994 407.65126728000007 0 4 -29.111999999999995 66.84800000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -16804.54179252799 296.02301617600006 0 5 -21.96799999999999 46.05600000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -16597.907740112 148.26364523200002 0 6 -72.19999999999999 11.424000000000007 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -16572.931407120002 151.825358192 0 6 -65.53999999999999 12.62400000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -16380.692415631998 152.58690968000002 0 6 -64.268 13.896 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -16308.205263296 191.36721248000003 0 6 -57.355999999999995 31.164000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -16287.754959184007 251.87712824000005 0 6 -55.324 31.036000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -16080.848013311996 142.84895539200002 0 6 -51.199999999999996 16.824000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -15896.825837327993 162.17630398400001 0 6 -55.364 22.800000000000004 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -15722.044171631991 225.978452624 0 5 -47.928 39.391999999999996 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15612.078368080005 186.887587504 0 4 -33.288 -17.359999999999992 0
4 10 5 2000 1 20 4000.0 2000.5 0.552 -15505.358121231995 95.189904752 0 6 -80.28399999999999 39.11200000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -15487.432001583984 274.436666192 0 5 -41.57199999999999 46.94800000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15459.326653951997 137.786875392 0 7 -68.72 -12.792000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15445.486186959999 155.87366507200002 0 7 -65.84 -4.9680000000000035 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15393.533473360005 193.78554398400001 0 7 -61.004 -5.0760000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15393.312647039991 137.786875392 0 7 -68.72 -3.6359999999999957 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -15340.984568911994 148.26364523200002 0 7 -72.19999999999999 -8.951999999999984 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15331.69402952 261.46652254400004 0 6 -46.419999999999995 28.292000000000023 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -15330.302128912 76.66238475200001 0 7 -71.16399999999999 -11.779999999999973 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15294.87082195199 191.36721248000003 0 7 -57.355999999999995 7.728000000000009 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15266.383165311992 61.123534912000004 0 7 -85.204 -5.183999999999983 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15228.537709312 82.96597939200002 0 7 -73.03999999999999 -5.015999999999991 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -15199.158163072 258.919538432 0 6 -47.611999999999995 29.05200000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -15079.310393359996 85.51296350400001 0 7 -71.848 0.5640000000000072 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -15068.768766544003 227.85802680000006 0 7 -56.827999999999996 -0.8999999999999986 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -15059.626697599997 61.123534912000004 0 7 -85.204 17.69200000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -15011.211998672003 292.26831710400006 0 6 -43.60399999999999 44.916000000000025 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -14974.405512511988 61.123534912000004 0 7 -85.204 1.1560000000000201 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -14919.370663104004 136.54631648000003 0 7 -61.675999999999995 2.8920000000000172 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -14876.282159295999 131.48423648000002 0 7 -79.196 9.324000000000012 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -14803.503023423997 82.96597939200002 0 7 -73.03999999999999 7.056000000000012 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14789.766215232 255.65259283200004 0 6 -45.78399999999999 45.648000000000025 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -14761.691633919992 197.66985139200003 0 6 -46.879999999999995 31.284000000000006 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -14734.77368486399 136.03830528000003 0 7 -73.376 21.792 0
4 10 5 2000 1 20 4000.0 2000.5 0.616 -14725.193816399995 215.60497662400005 0 7 -60.087999999999994 9.788000000000011 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -14700.71304942399 112.086878 0 7 -80.572 22.956000000000017 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -14672.217838831995 272.30562728000007 0 6 -60.20399999999999 31.100000000000023 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14626.696323872002 197.77428144000004 0 7 -70.408 7.756 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -14598.008988351987 152.107739712 0 7 -80.70400000000001 10.728000000000009 0
4 10 5 2000 1 20 4000.0 2000.5 0.552 -14596.882129920003 137.786875392 0 7 -68.72 9.444000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14594.107785872002 137.786875392 0 7 -68.72 22.536000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14571.306657551995 161.21393470400002 0 6 -50.08399999999999 37.236000000000004 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -14538.604279055995 68.8593788 0 7 -92.5 26.452000000000027 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14483.106129919997 137.786875392 0 7 -68.72 9.444000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -14312.374562303994 168.02412595200002 0 6 -48.67999999999999 38.64 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14252.99184193599 97.76601368000003 0 7 -68.588 30.828000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -14192.723223952005 97.76601368000003 0 7 -68.588 13.032000000000025 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13906.933491151995 80.77524024 0 7 -77.29599999999999 31.30000000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13849.723426639994 148.203380912 0 7 -68.376 18.42800000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -13793.740839823993 97.99681803200001 0 6 -70.69999999999999 36.56400000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -13728.200306000002 237.88719569600005 0 4 -47.571999999999996 36.00400000000002 0
