Solver Grids Delta_A Delta_B Anneal_Time Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2
4 10 45000 25 50 14400.00 0.800 -417224.689 398.911 0.000 0 7.992
4 10 45000 25 50 14400.00 0.833 -347764.974 521.237 0.000 0 41.136
4 10 45000 25 50 14400.00 0.808 -331878.033 313.495 0.000 0 0.084
4 10 45000 25 50 14400.00 0.792 -327782.871 412.974 0.000 0 22.608
4 10 45000 25 50 14400.00 0.800 -323293.263 241.979 0.000 1 -22.104
4 10 45000 25 50 14400.00 0.817 -321265.704 416.111 0.000 0 11.928
4 10 45000 25 50 14400.00 0.783 -309407.273 278.914 0.000 0 16.256
4 10 45000 25 50 14400.00 0.808 -307996.918 241.394 0.000 1 -2.972
4 10 45000 25 50 14400.00 0.775 -297877.472 230.622 0.000 1 -37.720
4 10 45000 25 50 14400.00 0.808 -292634.680 349.172 0.000 0 15.172
4 10 45000 25 50 14400.00 0.792 -292634.680 349.172 0.000 0 15.172
4 10 45000 25 50 14400.00 0.800 -286899.451 262.394 0.000 1 -10.516
4 10 45000 25 50 14400.00 0.775 -283375.192 270.424 0.000 0 -2.520
4 10 45000 25 50 14400.00 0.817 -279036.105 225.513 0.000 1 -22.332
4 10 45000 25 50 14400.00 0.800 -264078.535 282.634 0.000 1 1.200
4 10 45000 25 50 14400.00 0.783 -260776.059 390.848 0.000 1 13.260
4 10 45000 25 50 14400.00 0.808 -260776.059 390.848 0.000 1 13.260
4 10 45000 25 50 14400.00 0.792 -259708.861 266.206 0.000 2 -1.140
4 10 45000 25 50 14400.00 0.792 -258305.463 437.299 0.000 0 32.072
4 10 45000 25 50 14400.00 0.825 -256506.625 256.047 0.000 1 2.720
4 10 45000 25 50 14400.00 0.792 -256247.373 245.900 0.000 1 -13.008
4 10 45000 25 50 14400.00 0.808 -247634.680 349.172 0.000 0 15.172
4 10 45000 25 50 14400.00 0.775 -247587.089 328.093 0.000 0 -14.796
4 10 45000 25 50 14400.00 0.800 -247315.298 287.128 0.000 0 -14.544
4 10 45000 25 50 14400.00 0.800 -246696.004 287.302 0.000 1 -16.152
4 10 45000 25 50 14400.00 0.800 -246397.099 344.012 0.000 1 4.580
4 10 45000 25 50 14400.00 0.817 -241504.860 222.384 0.000 1 -30.844
4 10 45000 25 50 14400.00 0.800 -241504.860 222.384 0.000 1 -30.844
4 10 45000 25 50 14400.00 0.792 -241504.860 222.384 0.000 1 -30.844
4 10 45000 25 50 14400.00 0.825 -240818.380 346.956 0.000 1 -6.768
4 10 45000 25 50 14400.00 0.800 -230161.115 266.752 0.000 1 -26.980
4 10 45000 25 50 14400.00 0.783 -227666.167 264.994 0.000 0 -4.700
4 10 45000 25 50 14400.00 0.792 -226731.692 295.982 0.000 1 9.780
4 10 45000 25 50 14400.00 0.817 -225188.492 238.903 0.000 1 -4.072
4 10 45000 25 50 14400.00 0.808 -222474.977 240.536 0.000 1 -21.156
4 10 45000 25 50 14400.00 0.800 -222474.977 240.536 0.000 1 -21.156
4 10 45000 25 50 14400.00 0.817 -222474.977 240.536 0.000 1 -21.156
4 10 45000 25 50 14400.00 0.800 -220434.610 376.844 0.000 1 11.868
4 10 45000 25 50 14400.00 0.792 -216106.011 617.044 0.000 0 67.320
4 10 45000 25 50 14400.00 0.808 -215182.399 244.685 0.000 1 -23.104
4 10 45000 25 50 14400.00 0.783 -214852.588 378.857 0.000 1 26.248
4 10 45000 25 50 14400.00 0.808 -211840.798 284.428 0.000 1 -1.128
4 10 45000 25 50 14400.00 0.800 -209071.481 264.994 0.000 1 -4.700
4 10 45000 25 50 14400.00 0.800 -209037.407 225.258 0.000 1 -45.868
4 10 45000 25 50 14400.00 0.783 -208402.871 224.875 0.000 1 -29.744
4 10 45000 25 50 14400.00 0.767 -208009.967 375.429 0.000 1 0.748
4 10 45000 25 50 14400.00 0.775 -207874.039 303.439 0.000 1 26.744
4 10 45000 25 50 14400.00 0.808 -207293.651 295.377 0.000 1 0.988
4 10 45000 25 50 14400.00 0.800 -206952.042 103.478 0.000 2 -64.620
4 10 45000 25 50 14400.00 0.825 -204483.196 240.469 0.000 1 -15.188
4 10 45000 25 50 14400.00 0.808 -204364.734 198.799 0.000 1 -42.112
4 10 45000 25 50 14400.00 0.800 -204270.959 393.631 0.000 1 16.620
4 10 45000 25 50 14400.00 0.792 -201487.890 203.016 0.000 1 -40.384
4 10 45000 25 50 14400.00 0.792 -197941.765 219.536 0.000 1 -13.612
4 10 45000 25 50 14400.00 0.792 -197941.765 219.536 0.000 1 -13.612
4 10 45000 25 50 14400.00 0.783 -197820.967 202.950 0.000 0 -34.416
4 10 45000 25 50 14400.00 0.783 -196796.696 371.481 0.000 1 3.720
4 10 45000 25 50 14400.00 0.792 -196796.696 371.481 0.000 1 3.720
4 10 45000 25 50 14400.00 0.792 -196796.696 371.481 0.000 1 3.720
4 10 45000 25 50 14400.00 0.817 -196796.696 371.481 0.000 1 3.720
4 10 45000 25 50 14400.00 0.792 -194771.876 266.752 0.000 1 -26.980
4 10 45000 25 50 14400.00 0.775 -189064.493 262.778 0.000 2 -26.640
4 10 45000 25 50 14400.00 0.800 -188136.851 135.358 0.000 1 -33.484
4 10 45000 25 50 14400.00 0.800 -186787.878 435.083 0.000 2 10.132
4 10 45000 25 50 14400.00 0.792 -185998.360 265.061 0.000 1 -10.668
4 10 45000 25 50 14400.00 0.817 -185998.360 265.061 0.000 1 -10.668
4 10 45000 25 50 14400.00 0.808 -185998.360 265.061 0.000 1 -10.668
4 10 45000 25 50 14400.00 0.800 -184637.348 325.889 0.000 1 6.744
4 10 45000 25 50 14400.00 0.817 -183773.883 156.358 0.000 2 -41.028
4 10 45000 25 50 14400.00 0.800 -176601.750 180.883 0.000 1 -30.540
4 10 45000 25 50 14400.00 0.825 -176601.750 180.883 0.000 1 -30.540
4 10 45000 25 50 14400.00 0.817 -176368.384 418.238 0.000 1 8.928
4 10 45000 25 50 14400.00 0.800 -170725.147 182.641 0.000 2 -52.820
4 10 45000 25 50 14400.00 0.825 -166074.357 332.292 0.000 1 23.320
4 10 45000 25 50 14400.00 0.800 -163912.807 345.383 0.000 1 23.540
4 10 45000 25 50 14400.00 0.783 -160247.818 287.128 0.000 1 -14.544
4 10 45000 25 50 14400.00 0.833 -150431.805 277.363 0.000 1 14.376
4 10 45000 25 50 14400.00 0.825 -142674.398 281.580 0.000 1 16.104
4 10 45000 25 50 14400.00 0.808 -138773.883 156.358 0.000 2 -41.028
4 10 45000 25 50 14400.00 0.792 -136784.759 384.857 0.000 1 40.816
4 10 45000 25 50 14400.00 0.833 -135805.400 186.246 0.000 2 -22.392
4 10 45000 25 50 14400.00 0.817 -134212.957 388.000 0.000 1 30.492
4 10 45000 25 50 14400.00 0.808 -130814.823 397.563 0.000 2 -9.096
4 10 45000 25 50 14400.00 0.800 -124158.362 146.222 0.000 2 -50.412
4 10 45000 25 50 14400.00 0.808 -117754.148 281.409 0.000 2 -35.336
4 10 45000 25 50 14400.00 0.792 -117228.852 244.685 0.000 2 -23.104
4 10 45000 25 50 14400.00 0.817 -115492.636 312.945 0.000 2 -20.944
4 10 45000 25 50 14400.00 0.792 -111310.591 270.419 0.000 1 -46.280
4 10 45000 25 50 14400.00 0.800 -88382.201 203.016 0.000 2 -40.384
4 10 45000 25 50 14400.00 0.825 -88257.307 288.377 0.000 2 -4.100
4 10 45000 25 50 14400.00 0.808 -80549.181 222.384 0.000 3 -30.844
4 10 45000 25 50 14400.00 0.767 -73814.524 291.143 0.000 2 -23.484
4 10 45000 25 50 14400.00 0.800 9643.195 481.350 0.000 1 42.312
4 10 45000 25 50 14400.00 0.808 14377.856 385.303 0.000 2 11.288
4 10 45000 25 50 14400.00 0.800 22277.247 118.838 0.000 3 -60.256
4 10 45000 25 50 14400.00 0.808 22277.247 118.838 0.000 3 -60.256
4 10 45000 25 50 14400.00 0.817 82830.422 123.392 0.000 3 -54.436
4 10 45000 25 50 14400.00 0.825 100038.776 358.585 0.000 3 -0.456
4 10 45000 25 50 14400.00 0.792 111756.203 397.238 0.000 2 16.472
4 10 45000 25 50 14400.00 0.817 273995.415 313.060 0.000 3 -3.400
4 10 4000 2 20 120.00 0.917 -36770.417 319.884 0.000 0 -10.896
4 10 4000 2 20 120.00 0.917 -33443.009 284.145 0.000 0 -18.004
4 10 4000 2 20 120.00 0.917 -33376.725 351.854 0.000 0 -19.840
4 10 4000 2 20 120.00 0.925 -32925.696 311.641 0.000 0 -34.280
4 10 4000 2 20 120.00 0.917 -32914.365 277.843 0.000 0 -28.480
4 10 4000 2 20 120.00 0.917 -32908.061 477.813 0.000 0 17.296
4 10 4000 2 20 120.00 0.942 -32908.061 477.813 0.000 0 17.296
4 10 4000 2 20 120.00 0.917 -32793.052 155.559 0.000 0 -36.852
4 10 4000 2 20 120.00 0.917 -32445.894 404.446 0.000 0 -7.148
4 10 4000 2 20 120.00 0.933 -32376.448 201.980 0.000 0 -42.236
4 10 4000 2 20 120.00 0.900 -32316.947 291.853 0.000 0 -33.108
4 10 4000 2 20 120.00 0.925 -32119.096 224.222 0.000 0 -47.720
4 10 4000 2 20 120.00 0.933 -31758.474 209.899 0.000 0 -38.436
4 10 4000 2 20 120.00 0.925 -31654.329 436.810 0.000 0 -14.412
4 10 4000 2 20 120.00 0.942 -31478.947 212.296 0.000 0 -53.128
